,Unnamed: 0.1,Unnamed: 0,Question,Answer,keywords,count
10,10,10,Q[교환/반품] 교환/반품 비용 결제는 어떻게 하나요?,"상품 문제 혹은 배송 지연 등 판매자 사유로 교환/반품을 하는 경우에는 비용이 발생하지 않습니다. 단 구매자의 단순 변심으로 교환/반품을 하는 경우에는 아래와 같이 비용이 발생합니다.
 단순 변심 교환의 경우 (클릭)
 단순 변심 반품의 경우 (클릭)
 판매자 정보 확인하기 (클릭)",CANCEL,0
11,11,11,Q[취소] 할인쿠폰을 사용해 주문한 뒤 취소했는데 재발행이 되나요?,"할인쿠폰의 유효기간이 종료되기 전에 주문 취소가 완료되면 쿠폰 원상 복구(재발행)가 가능합니다. 단 유효기간이 종료된 할인쿠폰은 주문 취소가 완료되어도 원상 복구(재발행)가 되지 않습니다. 주문 취소를 신청한 후 취소가 완료되기까지 일정 시간이 소요되며 각 주문마다 소요시간은 다를 수 있습니다. 따라서 주문 취소가 완료되기까지 기다려 주시기 바랍니다.
 유의사항
• 쿠폰은 프로모션 기간 만료 후 주문 취소 시 원상 복구(재발행) 되지 않습니다.
• 쿠폰은 전체 주문 건에 적용되어 일부 상품 취소 시 귀책사유와 무관하게 원상 복구(재발행) 되지 않습니다. 
 할인쿠폰 확인하기
마이쿠팡 → MY혜택 → 할인쿠폰",CANCEL,0
12,12,12,Q[회수] 교환/반품 접수 후 상품은 언제 가져가나요?,"접수한 상품의 회수 예정일은 쿠팡 모바일 앱 [마이쿠팡] 메인 화면에서 확인할 수 있습니다. 
 회수 예정일은 각 상품 유형에 따라 다르므로 마이쿠팡에서 직접 확인해 주세요.
 반품 접수 후 회수 일정 안내 (클릭)",CANCEL,0
13,13,13,Q[판매자] 상품이 배송 중인데 주문을 취소할 수 있나요?,"이미 배송이 시작된 상품은 마이쿠팡에서 직접 반품신청으로 접수할 수 있습니다. 단 판매자 상품은 배송 시작 이후 최초 배송비를 포함한 왕복 배송비를 차감 후 환불됩니다.
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 클릭
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 반품하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 • 판매자에게 상품 도착 후 승인 취소가 완료됩니다.
• 반품비용을 제외한 환불 예정금액은 취소접수 화면에서 확인이 가능합니다.
• 반품비는 판매자 및 상품에 따라 상이하며 상황에 따라 별도 입금이 요청될 수 있습니다.
• 도서산간 지역 설치 상품 업체에서 직접 배송하는 상품의 경우 반품비가 추가될 수 있습니다.
• 반품 신청 이후 배송된 상품은 택배기사에게 수취거부를 말씀해 주시기 바랍니다.
• 반품을 접수했지만 배송된 상품은 평일 1~3일 이내 택배기사가 방문하여 회수해 갑니다.
• 신선/냉장/냉동 상품의 경우 재판매가 불가한 상품의 특성상 단순 변심에 의한 반품 신청이 제한됩니다.
• 주문제작 해외 구매대행 신선/냉장/냉동 상품 설치 가전의 경우 마이쿠팡에서 반품 신청이 가능하지 않으므로 판매자에게 문의해 주시기 바랍니다.
• 판매자 정보는 구매한 상품의 상세페이지 내 [배송/교환/반품/판매자 안내]를 선택하여 판매자와 연락처를 확인할 수 있습니다.",CANCEL,0
14,14,14,Q[취소] 배송이 늦어 주문을 취소하고 싶어요.,"상품에 따라 배송 일정이 다릅니다. 주문목록에서 배송예정일을 확인할 수 있으며 마이쿠팡에서 직접 주문 취소가 가능합니다. 단 배송상태에 따라 [주문취소]가 불가할 경우 [교환 반품 신청]으로 진행해 주세요.
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 선택 
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 • 반품비용을 제외한 환불 예정금액은 취소접수 화면에서 확인이 가능합니다.
• 로켓프레시 상품의 경우 배송 시작 후에는 주문 취소가 불가하며 배송 완료 후 반품을 진행하실 수 있습니다.
• 신선/냉장/냉동 상품의 경우 재판매가 불가한 상품의 특성상 단순 변심에 의한 반품 신청이 제한됩니다.
• 판매자 상품의 경우 상품의 배송이 시작된 이후 취소 시에는 반품비가 발생됩니다.
• 마이쿠팡에서 직접 취소하실 수 없는 경우 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다.
 주문제작 해외 구매대행 설치 가전의 배송 지연 시에는 판매자에게 문의하시면 빠르고 정확한 안내를 받으실 수 있습니다. 판매자 정보는 구매한 상품의 상세페이지 내 [배송/교환/반품/판매자 안내]를 선택하여 판매자와 연락처를 확인할 수 있습니다.",CANCEL,0
15,15,15,Q[교환/반품] 상품 검수 결과에 따라 환불이 불가할 수도 있나요?,"반품된 상품을 검수한 결과가 교환/반품 제한사항에 해당하는 경우에는 환불이 불가능하며 반품된 상품은 고객님께 반환됩니다.
 교환/반품 제한사항 (클릭)",CANCEL,0
16,16,16,Q[반품] 무료반품이라고 기재된 상품은 어떻게 반품하나요?,"상품 상세페이지에 [무료반품]이라고 안내된 상품은 단순 변심인 경우에도 반품비용이 발생하지 않습니다. 단 일부 상품의 경우 단순 변심으로 인한 반품이 불가하니 상품의 상세페이지 내 교환/반품 제한사항을 확인해 주시기 바랍니다. 반품은 마이쿠팡을 통해 직접 신청해 주시기 바랍니다. 반품 접수 화면에서 반품비를 제외한 환불 예정금액 확인이 가능합니다.
 반품하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 가능 기간 (클릭)
 교환/반품 제한사항 (클릭)",CANCEL,0
17,17,17,Q[취소] 주문한 상품을 취소할 수 있나요? (예외 : 공연 전시 숙박 여행 - 해당 환불규정에 따름),"네 상품 출고 및 제작 전에는 주문 취소가 가능합니다. 단 상품이 출고된 이후에는 반품 후 취소가 가능합니다. 일부 상품 및 조건에 따라 교환/반품(취소)이 불가할 수 있으니 아래의 세부내용을 확인해 주시기 바랍니다.
 미사용 상품에 한하여 교환/반품이 가능합니다. 상품을 회수한 후 검수 단계에서 문제가 발견될 시 고객님께 연락을 드릴 수 있습니다. '전자상거래 등에서의 소비자보호에 관한 법률'에 의거하여 상품 수령 후 7일 이내 교환/반품을 요청할 수 있습니다. 단 로켓배송 상품의 경우 배송 완료 후 30일 이내 로켓모바일 상품은 주문일 포함 14일 이내로 교환/반품이 가능합니다. 세부내용은 아래를 참고하시기 바랍니다.
 교환/반품 가능 기간 (클릭)
 교환/반품 제한사항 (클릭)",CANCEL,0
18,18,18,Q[교환/반품] 선물 받은 상품을 교환/반품하고 싶습니다.,선물을 받는 분(수취인)께서 상품을 교환/반품하시려면 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다. 선물을 받은 분(수취인)의 휴대폰 번호 또는 운송장 번호를 조회하여 교환/반품을 진행할 수 있습니다.,CANCEL,0
19,19,19,Q[취소] 주문목록에서 취소하려는 상품의 취소버튼이 보이지 않아요.,"마이쿠팡에서는 고객님께서 직접 주문취소가 가능한 상태의 상품에만 [취소신청] 버튼이 보입니다. 해당 주문에 [취소신청] 버튼이 보이지 않는다면 이미 배송 준비 중이거나 배송 시작인 상태로 이는 [반품신청]으로 진행해 주셔야 합니다. 
 반품 가능 기간 (클릭)
 판매자 정보 확인하기 (클릭)",CANCEL,0
